"beta_prior","adj_prior","pred_prob"
"normal(0, 1.5)","normal(0, 3)",0.333333333333333
"normal(0, 1.5)","normal(0, 5)",0.458333333333333
"normal(0, 1.5)","normal(0, 10)",0.708333333333333
"normal(0, 2)","normal(0, 3)",0.3125
"normal(0, 2)","normal(0, 5)",0.520833333333333
"normal(0, 2)","normal(0, 10)",0.3125
"normal(0, 1)","normal(0, 3)",0.8125
"normal(0, 1)","normal(0, 5)",0.25
"normal(0, 1)","normal(0, 10)",0.541666666666667
"normal(0, 1.5)","normal(0, 3)",0.75
"normal(0, 1.5)","normal(0, 5)",0.666666666666667
"normal(0, 1.5)","normal(0, 10)",0.5
"normal(0, 2)","normal(0, 3)",0.3125
"normal(0, 2)","normal(0, 5)",0.270833333333333
"normal(0, 2)","normal(0, 10)",1
"normal(0, 1)","normal(0, 3)",0.4375
"normal(0, 1)","normal(0, 5)",0.541666666666667
"normal(0, 1)","normal(0, 10)",0.645833333333333
"normal(0, 1.5)","normal(0, 3)",0.625
"normal(0, 1.5)","normal(0, 5)",0.791666666666667
"normal(0, 1.5)","normal(0, 10)",0.333333333333333
"normal(0, 2)","normal(0, 3)",0.416666666666667
"normal(0, 2)","normal(0, 5)",0.0208333333333333
"normal(0, 2)","normal(0, 10)",0.666666666666667
"normal(0, 1)","normal(0, 3)",0.395833333333333
"normal(0, 1)","normal(0, 5)",0.520833333333333
"normal(0, 1)","normal(0, 10)",0.5625
"normal(0, 1.5)","normal(0, 3)",0.541666666666667
"normal(0, 1.5)","normal(0, 5)",0.645833333333333
"normal(0, 1.5)","normal(0, 10)",0.5
"normal(0, 2)","normal(0, 3)",0.708333333333333
"normal(0, 2)","normal(0, 5)",0.895833333333333
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.666666666666667
"normal(0, 1)","normal(0, 5)",0.8125
"normal(0, 1)","normal(0, 10)",0.541666666666667
"normal(0, 1.5)","normal(0, 3)",0.666666666666667
"normal(0, 1.5)","normal(0, 5)",0.875
"normal(0, 1.5)","normal(0, 10)",0.645833333333333
"normal(0, 2)","normal(0, 3)",0.0625
"normal(0, 2)","normal(0, 5)",0.395833333333333
"normal(0, 2)","normal(0, 10)",0.4375
"normal(0, 1)","normal(0, 3)",0.5625
"normal(0, 1)","normal(0, 5)",0.375
"normal(0, 1)","normal(0, 10)",0.5625
"normal(0, 1.5)","normal(0, 3)",0.333333333333333
"normal(0, 1.5)","normal(0, 5)",0.625
"normal(0, 1.5)","normal(0, 10)",0.6875
