"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 1.5)","normal+(0, 20)",0.333333333333333
"normal(0, 2)","normal+(0, 5)",0.527777777777778
"normal(0, 2)","normal+(0, 10)",0.208333333333333
"normal(0, 2)","normal+(0, 20)",0.666666666666667
"normal(0, 1)","normal+(0, 5)",0.402777777777778
"normal(0, 1)","normal+(0, 10)",0.49537037037037
"normal(0, 1)","normal+(0, 20)",0.337962962962963
"normal(0, 1.5)","normal+(0, 5)",0.342592592592593
"normal(0, 1.5)","normal+(0, 10)",0.25462962962963
"normal(0, 1.5)","normal+(0, 20)",0.5
"normal(0, 2)","normal+(0, 5)",0.583333333333333
"normal(0, 2)","normal+(0, 10)",0.476851851851852
"normal(0, 2)","normal+(0, 20)",0.217592592592593
"normal(0, 1)","normal+(0, 5)",0.606481481481482
"normal(0, 1)","normal+(0, 10)",0.583333333333333
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.657407407407407
"normal(0, 1.5)","normal+(0, 10)",0.62962962962963
"normal(0, 1.5)","normal+(0, 20)",0.449074074074074
"normal(0, 2)","normal+(0, 5)",0.384259259259259
"normal(0, 2)","normal+(0, 10)",0.699074074074074
"normal(0, 2)","normal+(0, 20)",0.287037037037037
"normal(0, 1)","normal+(0, 5)",0.194444444444444
"normal(0, 1)","normal+(0, 10)",0.324074074074074
"normal(0, 1)","normal+(0, 20)",0.537037037037037
"normal(0, 1.5)","normal+(0, 5)",0.601851851851852
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.314814814814815
"normal(0, 2)","normal+(0, 5)",0.560185185185185
"normal(0, 2)","normal+(0, 10)",0.652777777777778
"normal(0, 2)","normal+(0, 20)",0.837962962962963
"normal(0, 1)","normal+(0, 5)",0.680555555555556
"normal(0, 1)","normal+(0, 10)",0.555555555555556
"normal(0, 1)","normal+(0, 20)",0.462962962962963
"normal(0, 1.5)","normal+(0, 5)",0.634259259259259
"normal(0, 1.5)","normal+(0, 10)",0.685185185185185
"normal(0, 1.5)","normal+(0, 20)",0.671296296296296
"normal(0, 2)","normal+(0, 5)",0.476851851851852
"normal(0, 2)","normal+(0, 10)",0.537037037037037
"normal(0, 2)","normal+(0, 20)",0.296296296296296
"normal(0, 1)","normal+(0, 5)",0.611111111111111
"normal(0, 1)","normal+(0, 10)",0.375
"normal(0, 1)","normal+(0, 20)",0.666666666666667
"normal(0, 1.5)","normal+(0, 5)",0.856481481481482
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.305555555555556
"normal(0, 2)","normal+(0, 5)",0.550925925925926
"normal(0, 2)","normal+(0, 10)",0.5
"normal(0, 2)","normal+(0, 20)",0.537037037037037
"normal(0, 1)","normal+(0, 5)",0.171296296296296
"normal(0, 1)","normal+(0, 10)",0.444444444444444
"normal(0, 1)","normal+(0, 20)",0.587962962962963
"normal(0, 1.5)","normal+(0, 5)",0.333333333333333
"normal(0, 1.5)","normal+(0, 10)",0.467592592592593
"normal(0, 1.5)","normal+(0, 20)",0.263888888888889
"normal(0, 2)","normal+(0, 5)",0.375
"normal(0, 2)","normal+(0, 10)",0.259259259259259
"normal(0, 2)","normal+(0, 20)",0.694444444444444
"normal(0, 1)","normal+(0, 5)",0.842592592592593
"normal(0, 1)","normal+(0, 10)",0.518518518518518
"normal(0, 1)","normal+(0, 20)",0.328703703703704
"normal(0, 1.5)","normal+(0, 5)",0.412037037037037
"normal(0, 1.5)","normal+(0, 10)",0.416666666666667
"normal(0, 1.5)","normal+(0, 20)",0.662037037037037
"normal(0, 2)","normal+(0, 5)",0.574074074074074
